Standard Bangla,Chittagong,Noakhali,Barishal
আবাল বিচারক দাঁড়ি আলা আর মম,আবাল বিচারক দাঁড়ি আলা আর মম।,আবাল বিচারক দাড়ি আলা হালার ভাই।,আবাল বিচারক দাঁড়ি আলা আর মম।
আবালনী একটা� ভাইরাল হওয়া জন্য কি না করতে পারে ।,আবাাল না হনো?ভাইরাল অইবেল্লাই কি গরের।,আবালনি এইডা ভাইরাল হইতে কিনা করতে পারে ।,আবাল এউক্কা ভাইরাল হওয়া লইগ্যা কি না হরতে পারে।
আমাদের দেশে এতো গাঁধার দল আছে আগে সেটা জানতাম না� এদের মধ্যে কারোর নায়ক হওয়ার যোগ্যতা নাই� আমাদের দেশে স্মার্ট ছেলে বলতে গেলে নাই!,আরার দেশত এতো গাধার দল আছে ইবে যদি আগে জাইন্তাম ইতারার মইধ্যে কিয়র নায়ক অইবের যইগ্যতা নাই আরার দেসত স্মার্ট ফুয়া নাইয়ো।,আমগো দেশে এত গাধা দল আছে আগে জানতাম না। এগুন এর বিত্তে কারো নায়ক হওয়ার যোগ্যতা নাই । আমগো দেখে স্মার্ট পোলা বলেতে গেলে নাই ।,মোগো দেশে এতো গাঁধার দল আলহে আগে সেটা জানতাম না এদের মধ্যে কারোর নায়ক অওয়ার যোগ্যতা নাই মোগো দেশে স্মার্ট ছেলে কইতে গেলে নাই।
আমার কাছেতো উপস্থাপিকার দূধ ভালো লাগছে��,আত্তে উপস্থাপিকার দুধ গম লাইজ্ঞি।,আমারতে উপস্থিকার দুধ ভালা লাগচে।,মোর কাছেতো উপস্থাপিকার দুধ ভালো লাগজে।
আমার মনে চাইতে এই সব সালাগো আর সালিগো মাগিগো হাতির গো আর কুততার মুত আর চিকার গো দিয়া জুস বানাইয়া ওদের মুখ দিয়া ডোকানো দরকার,"আত্তে্তে মনে হদ্দে এয় হালা হালি অক্কলরে হাতি,এদ্দের কুত্তার মুত এদ্দের চিয়ার গু দি জুস বানায় হাবাইবেল্লাই।","আর মন্ডা চাইতাছে এই সব শালাগো, শালিগো, মাগিগ হাতির গুর আর কুত্তার মুত আর চিকার গুর দিয়া জুস বানাই এগুণের মুখে ডুকাই।",মোর মোনে চাইতে এই সব হালাগো আর হালিগো মাগিগো হাতির গু আর কুত্তার মুত আর চিকার গু দিয়া জুস বানাইয়া ওদের মুখ দিয়া ডোকানো দরকার।
আমি দুদু খাব,আই দুধ হাইয়্যুম।,আই দুধ খামু,মুই দুদু খাব
"আর কাওকে পেলো না হিজড়া jaky, souvik দের নিয়ে natok বানিয়েছে. Tisarনামটা দেখে প্লে করছিলাম. কিন্তু হিজড়া, আবাল চোদাদের দেখে মেজাজ খারাপ হয়ে গেলো। play করাটা ভুল হলো","আর কেয়ারে ন ফায় দে না হিজারা জ্যাকি,সৌভিক অক্কলরে লই নাটক বানাইয়্যি টিজার নাম দেহি প্লা গরিলাম কিন্তু হিজারা আবাল আবালচোদা অক্কলরে দেহি মাথা টাথা গরম হই গেইয়্যি ।প্লে গরাউয়্যো উদ্দো ভুল অইয়্যি।","আর কাওরে পাইলন না হালা হিজদা জেকি, সৌভিক গো নিয়া নাটক বানাইসে। তৃষার নামড়া দেখি প্লে কইচি হিজডা আবাল ছোদা দেখি মেজাজদাই খারাপ হই গেছে, প্লে করাই ভুল হইচে ।","আর কেউরে পাইলে না হিজড়া দের নিয়ে নাটক বানাইছে. তিশার নামটা দেইখ্যা প্লে হরছেলাম. কিন্তু হিজড়া, আবাল চোদাদের দেইখ্যা মেজাজ খারাপ অইছে। প্লে  হরাটা ভুল অইলো।"
আর বেশি দিন বাকি নাই যে দিন বিডি তে বাসর রাতে কেমনে চোদাচুদি করতে হয় তার একটা লাইভ প্রোগ্রাম হবে।।হায়রে নারী,আর বেশি দিন বাকি নাই যে দিন বিডিওত বাসর রাইতত কেনে চোদাচুদা গরা ফরে তার উজ্ঞো লাইভ অইবু । হায়রে বেডি।,আর বেশিদিন নাইজে বাসর রাতে কেমনে চোদাচোদী করা লাগে হেগাস এর লাইভ প্রোগ্রাম হইব । আহারে বেড়ি।,আর বেশি দিন বাকি নাই যে দিন বিডি তে বাসর রাইতে কেমনে চোদাচুদি হরতে অয় তার এউক্কা লাইভ প্রোগ্রাম অইবে। হায়রে নারী।
আরে শালার ভাই শালা ছবি দেখলে দেখ না দেখলে না দেখ খারাপ কমেনস করিস কেনো,আরে আলার ভাই আলা ছবি চাইলি চা ন চাইলি ব্যাড কমেন্ট  কিল্লাই গরস।,এরে শালারভাই ছবি দেখলে দেখ না দেখলে নাই খারাপ কমেন্ট করছ কেন ।,আরে হালার ভাই হালা ছবি দেখলে দেখ না দেখলে না দেখ খারাপ কমেনস হরিস কেনো?
আল্লাহই ভালো জানে এসব পতিতার জন্ম কেনো দিয়েছে �,আল্লাহ ভালা জানে এইসব পতিতা কিল্লাই জিনিম দিয়্যি।,আল্লাহই ভাল জানে এসব পতিতার জন্ম কে দিছে।,আল্লাহই ভালো জানে এসব পতিতার পয়দা কেনো দেছে।
আসলে প্রভা একটা মাগির 30 মিনিটের ভিডিও আছে,আসলে প্রভা অইয়্যিদে উজ্ঞো মাগি তার ৩০ মিনিটর উজ্ঞো ভি্ডিও আছে।,আসলেই প্রভার একটা মাগি ৩০ মিনিটের ভিডিও হইসি।,আসলে প্রভা এউক্কা মাগির ৩০ মিনিটের ভিডিও আলহে।
আসলে সৃজিত মিথিলা জনি ইউজ করে না করেছে পায়খানার পথ ইউজ করছে যার কারনে সৃজিত বলে মিথিলা ভাজিন,"আসলেে সৃজিত মিথিলার হেডাত ন ঘলায় , ফুন্দদি ঘলায় তো এতাল্লাই ইতে হয় দে মিথিলা এজু ভার্জিন।",আসলেই সৃজিত মিথিলা জনী ব্যবহার করে না করছে পায়খানার পথ ব্যবহার কইছে চাই সৃজিত বলে মিথিলা ভার্জিন ।,আসলে সৃজিত মিথিলা জনি ইউজ হরে না হরেছে পায়খানার পথ ইউজ হরছে যার লইগ্যা সৃজিত কয় মিথিলা ভার্জিন।
আসুদা বিচারক এরা এদেরকে চুদা দেবার প্রয়োজন,আসোদা বিচারক ইতারা ।ইতারারে চুদা দরহার।,আচোদা বিচারক এগুণরে চুদাঅন দেবার দরকার।,আচোদা বিচারক এরা এদেরকে চোদা দেওয়া লাগে।
ইয়াবা মেহেরবান।।।।কারন মাগি ইয়াবা খায়,ইয়াবা মেহেরবান হারন মাগী ইয়াবা হাইয়্যি নে।,ইয়াবা মেহেরবান । কারণ মাগি ইয়াবা খায়।,ইয়াবা মেহেরবান। কারন মাগি ইয়াবা খায়।
এ সব মাগীদের কাজ নাই।,এইসব মাগী অক্কলর হাম নাই।,এইচ্ছা মাগি গুনের কাম নাই।,এ সব মাগীদের কাম নাই।
এই আবাল গুলোকে ধরে রাস্তার মধ্যে দাঁড়িয়ে জুতা দিয়ে পিটানো উচিত,এই আসোদা অক্কলরে রাস্তাত তিয়ে গরায় জুতা পিডা গরা দরহার।,এইচ্ছ আবাল গুনরে ধরি রাস্তারতে জুতাদি পিডান উচিৎ।,এই আবাল গুলাকে ধরে রাস্তার মধ্যে দাঁড়িয়ে জোতাইদ্যা পিডানো দরকার।
এই আবাল নাইকা কে দেখলে রাগ হই,এয় আবাল নাইকারে দেহিলি মাথা গরম অয় ।,আইচ্ছা আবাল নাইকারে দেখলেই রাগ উড়ে।,এই আবাল নাইকারে দ্যাকলে রাগ অয়।
এই আবালের বাচ্চা গুলার জুতা দিয়ে পিটা লাগবে নিজের যোগ্যতা নয় অন্যদের কী যোগ্যতার মাপ দেবে,এয় আবাালর বাইচ্চে অক্কলরে জুতা পিডা গরা ফরিবু নিজের যোইগ্যতা নাই আরেকজনর যোইগ্যতা মাফে।,এইচ্ছা আবালের বাইচ্ছাগুনরে জুতাদী পিটান দরকার নিজেগো যোগ্যতা নাই অর্ণগুণ এর যোগ্যতা মাইপত আইয়ে ।,এই আবালের বাচ্চা গুলার জোতাইদ্যা পিডান লাগবে নিজের যোগ্যতা নয় অন্যদের কী যোগ্যতার মাপ দেবে।
এই গাই গরুটাকে নিউজিল্যান্ড পাঠিয়ে দেন,গাইন ইবেরে নিউজিল্যান্ড ফাডায় দন।,এইচ্চা গাই গরুরে নিউজিল্যান্ড হাড়াই দন দরকার,এই গরু লইয়া নিউজিল্যান্ড পাড়ি দেওন লাগব।
এই গাঁজা খোর দের কে বিচারক বানায়।,এই গাজাআখোর অক্কলরে হন বিচারক বানায় ?,এইচ্চা গাজাখোর গোরে কনে বিচারক বানায়?,এই গাঁজা খোরডারে বিচারক বানাইয়া দেছে কেডা?
এই জানোয়ার গুলারে নিজের হাতে জুতা মেরে গাল ফাটিয়ে দিতে ইচ্ছে করে ওদের বাবা মা মানুষ বানাতে পারেনি কিভাবে মানুষকে সম্মান করতে হয় সালার জানোয়ার কোথাকার গুলি,জানোয়ার অক্কলরে নিজুর হাতত জুতা মারিয়েনে ঙ্গাল ফাডায় ফেলাইতু মনে হয় । মা বাপ মানুষ বানাইত ন ফারে ইতারারে মাইনষুরে কেনে সম্ময়ান দেয়া ফরে আলার জানোয়ার হত্তুন।,এইচ্চা জানোয়ারগোরে মনেকয় নিজের হাতে জুতাদি মারি গাল হাড়াইদি এগুনের বাপ মা মানুষ বানাইত হারেনও জানেনা কেন্নে মানুষরে সম্মান ডন লাগে।,"এই জানোয়ারগো হাড়ে জোতা মাইরা গাল ফাটাইতে মন চায়ওদের মা-বাপও মানু বানাইতে পারল না, মানুরে সম্মান কেমনে হরতে অয় হালার জানোয়ার কোনহাঙ্কার।"
এই দালাদ দের ভাত রানদে কে,এই দালাল অক্কলর ভাত হনে রান্ধে।,এইচ্ছা দাল্লালগো ভাত রান্দে কনে।,এই দালালগো ভাত রানদে কেডা?
এই নাটকের যে কয়জন অভিনয় করেছে সব কটায় শান্তিতে চুদছে,নাটক ইবে যে হয়জন অভিনয় গইজ্জি বেজ্ঞুন শান্তিত চুদের।,এই নাটকের যে কোগা অভিনয় কইছে বেকগুন শান্তিতে হোন্ডেইসে।,"এই নাটকের যেই কয়জন অভিনয় হরছে, সুব কটায় শান্তিতে চুদছে।"
এই বাইনচোদ গুলাকে বিচারক বানাইচে কোন আবাল,এই বাঞ্চোদ অক্কলরে বিচারক বানাইয়্যিদে হোন আবাল?,এইচ্ছা বাইনচোদ গুনরে বিচারক কোন আবালে?,এই বাইনচোদ গুলারে বিচারক বানাইচে কোন আবালে।
এই মদার চোদ কে এই সালারে মিডিয়ার সব কিছু  থেকে বয়কট করার জোর দাবি জানচ্ছি���,এই মাদারিসুদ হন এই আলারে মিডিয়ার বেক কিছুত্তুন বয়কট গরিবের জোর দাবী জানাইর।,এই মাদারচোদরে এই হালারে মিডিয়াতুন বেককিছু তুন বয়কট দাবি জানাই এর।,এই মদার চোদ রে এই হালারে মিডিয়ার সব কিছুইদ্যা বয়কট হরার একছের দাবি জানচ্ছি।
এই মাগি বাংলার মাগি,এই মাগী বাংলার মাগী।,এই মাগি বাংলার মাগি।,এই মাগি বাংলার মাগি।
এই মাগির লজ্জা পরম নেই,এই মাগীর লজ্জা শরম নাই।,এই মাগীর লজ্জা সরম কিচ্ছু নাই।,এই মাগির লজ্জা শরম নাই।
এই মাগীকে।জুতা দিয়া পাঠানোর দরকার নিলজ্জা শালী,আএই মাগীরে জুতা পিডা গরা দরহার হালি নির্লজ্জ।,এই মাগীরে জুতাদি হিড়ান দরকার নির্লজ্জ হালি।,এই মাগীকে জোতাইদ্যা পিডাইন্না দরকার নিলজ্জা হালী।
এই মানুষটা রে কি করে মেরে ফেলতে পারল ।,মানুষ ইবেরে কেনে মারি ফেলাইত ফাইল্লু।,এই মানুষ গারে কেমনে মারি লাইল।,এই মানুডারে কি হইর‍্যা  মাইর‍্যা ফালাইতে পারল ।
এই মেয়ে তো খারাপ মানি একটা খানকি,মেয়ফুয়াউয়্যো তো হারাপ মানে হাংকি।,এই মাইয়াত খারাপ মানি ইগ্গা খাঙ্ক।,এই মাইয়া তো খারাপ মানে এউক্কা খানকি।
এই মেয়ে পাগল হয়ে গেছো,মেয়ফু্যাউয়্যো ফল অই গেইয়ি।,মাইয়া ইজা হাগল হই গেছে।,এই মাইয়া পাগল অইয়া গেছো।
এই রকম কিছু মাগী আছে,এইল্লে কিছু মাগী আছে।,এইচ্ছা কিছু মাগি আছে।,এই রহম কিছু মাগী আলহে।
এই সব বালের বিচারককে জুতা দিয়ে পিটানো উচিৎ,এইল্লে্ বালর বিচারক অক্কলরে জুতা পিডা গরা দরহার।,এই সব বালের বিচারকগো জুতা দি পিডান উচিৎ।,এই সব বালের বিচারককে জোতাইদ্যা পিটানো উচিৎ।
এই সব বিচারক গাঁজা ভাইজা খাই না কি সিদ্ধ করে খাই,এই বাালর বিচাররক অক্কল কি গাজা ভাজিয়েরে হাই নাকি হিজাইয়্যেরে হায়।,এইচ্ছা বিচারক গাজা ভাজি খায় নাকি হিদ্য করি খায়।,এই সব বিচারক গাঁনজা ভাইজজ্যা খাইয় না কি হেদ্ধ হইর‍্যা খায়।
এই সব মাগীরার কারনে আজ বাংলার মা বোনেরা অবহেলিত,এসব মাগী অক্কলর লাই আজিয়ে বাংলার মা বইন অক্কল অবহেলিত।,এইচ্চা মাগিগো কারনেই আইজ্জা বাংলার মা বইনরা অবহেলিত।,এই সব মাগীরার হারনে আইজ বাংলার মা বোনেরা অবহেলিত।
এই সমস্ত বালছাল জাজেজ দের ডায়রিয়া আক্রান্ত রোগীর জাইঙ্গা দিয়া পিটানো উচিত,এইসমস্ত বালছাল জাজেস অক্কলরে ডাইরিয়া রুগীর জাইঙে দি পিডা ফরিবু।,এই বেক বালছাল জাজ গো ডায়রিয়া আক্রান্ত রোগীর জাহিগ্গা দিয়া পিড়ান উচিৎ ।,এই সব বালছাল জাজ দের ডায়রিয়া আক্রান্ত রোগীর জাইঙ্গা দিয়া পিডানো উচিৎ।
এই সালাদের কে বিচারক বানাইছে,এই আলা অক্কল্রে বিচারক হনে বানাইয়্যি দে।,এই হালা গারে কনে বিচারক বানাইসে।,এই হালাদের কেডা বিচারক বানাইছে।
একটা উভয়লিঙ্গ আছে মনে হয়�,উজ্ঞো উভয়লিঙ্গ আছে ফানলার।,ইজ্জা উভয়লিগ্গ আছে লাগের।,এউক্কা উভয়লিঙ্গ আলহে মনে অয়।
একদম খাটি মাগি।,এব্বেরে হাটি মাগী।,একারে খাঙ্কি মাগী।,এককালে খাডি মাগি।
এখানে মোস্তফা কামাল রাজ স্যার বাদে। বাকি সবগুলো হচ্ছে রোহিঙ্গা কুত্তার বাচ্চা এদেরকে জাজদের আসনে বসাইলো যারা তারা আরও বড় রোহিঙ্গা।এক মত লাইক হবে। ���,"এন্ডে মোস্তফা কামাল রাজ স্যার বাদে , আর বেজ্ঞিন অইয়্যি দে রোহিঙে , কুত্তোর বাইচ্চে ।ইতারারে জাজেস অর স্থানত যারা বোয়াইয়্যি ইতারা আরো বড় রোহিঙ্গে। একমত লাইক অইবু।",এডে মোস্তফা কামাল রাজ স্যার বাদে বাকিগুণ হইল রোহিগা কুত্তারবাচ্চা এগুনরে জাজগ আসনে বসাইলো জেগুন হেগুণ আর বড্ডা রোহিগ্গা। একমত লাইক হইব ।,এহানে মোস্তফা কামাল রাজ স্যার বাদে বাকি সবগুলা হইতেয়াছে রোহিঙ্গা কুত্তার বাচ্চা এদেরকে জাজদের আসনে বহাইলো যারা তারা আরও বড় রোহিঙ্গা।এক মত লাইক হবে।
এত বর দুধ,এত্ত বর দুদ।,এতোয়া বড্ডা দুধ।,এত বড় দুধ।
এতো সুন্দর একটা মুভির মাঝে ডিস লাইক দেয় মানুষ এর হলো আসল মাদারচোদ,এতো সুন্দর মুভিত ডিস্লাইক দে দে ইতারা আস্তা মাদারিসুদ।,এইচ্চা সুন্দর ইগা মুভির বিত্তে ডিসলাইক দেয়া মানুষ এগুণ হইল আসল মাদারচোদ।,এতো সুন্দর এউক্কা মুভির মাঝে ডিস লাইক দেয় মানুরা হইলো আসল মাদারচোদ।
এদের মতো শিক্ষিত লোকের মারে চোদি,ইতারার ডইল্লে শিক্ষিত মাইনষুর মারে সুদি।,এগুনের মত শিক্ষিত লোকের মারে চুদী।,এগো মতো শিক্ষিত লোকের মারে চুদি।
এরা সবাই বেনচোদ,ইতারা বেজ্ঞুন বাইঞ্চোদ।,এগুন সব বাইনচোদ।,এরা সবাই বেনচোদ।
এরা হয় কি ভাবে জাজ সব কয়টা ছাগলের বাচ্ছা এর থেকে জাজ,ইতাারা জাজ কেনে অয় বেজ্ঞিন ছলর বাইচ্চে এত্তুন জাজ।,এগুন জাজ হয় কেন্নে বেকগুন ছাগলের বাচ্চা এর জাজ,এরা অয় কি ভাবে জাজ সব কয়টা ছাগলের বাচ্ছা এর থেইক্কা জাজ।
এলিয়েন শুভ কে ময়লা নাঈমের দুধের চিপায় লুকিয়ে রাখা যাবে,এলিয়েন শুভ রে হাচারা নাঈমর দুধুর চিবেত গুজোয় রাহা যাইবু।,এলিয়েন শুভ রে ময়লা নাঈমের দুধ এর চিপায় লুকাই রাখন যাইব,এলিয়েন শুভ কে ময়লা নাঈমের দুধের চিপায় গুইজ্জা রাখা যাইবে।
এসব বিচারক কে জুতা পিঠা করার দরকার ছিল।,এসব বিচারক অক্কলরে জুতা পিডা গরা দরহার আছিল।,এইচ্ছা বিচারক রে জুতাদি হিডন দরকার আছিল।,এসব বিচারক কে জোতা পিডা করা দরকার আছেলে।
ও একটা বাইনচোদ । শরির দেখিয়ে জনপ্রিয়তা পাওয়া যায়না । জনপ্রিয়তা পেতে যোগ্যতা প্রয়োজন । ওর কোন যোগ্যতাই নাই তাই এসব অস্লীল কিছু করে আলোচনায় থাকতে চাচ্ছে ছিঃ ছিঃ,"ইতে উজ্ঞো বাইঞ্চোদ । গা দেহায় জনপ্রিয়তা ফা ন যায়।জনপ্রিয়তা ফাইবের যোইগ্যতা লাগে ।ইতির হোনো যোইগ্যতা নাই ,এতাল্লাই এইল্লে লাশারার ডইল্লে আলোচনাত থাইক্তু চার , ছিঃ ছিঃ।",ইযা ওগ্গা বাইনচোদ । গা দেখাই জনপ্রিয়তা ফান যায়না । জনপ্রিয়তা পাইতে যোগ্যতা লাগে । এতের কোন যোগ্যতা নাই হিরলাই এইচ্ছা অস্লীল কিছু করি আলোচনায় থাইকতো চায় ছিঃ ছিঃ।,ও এউক্কা বাইনচোদ । শরির দেহাইয়া জনপ্রিয়তা পাওয়া যায়না । জনপ্রিয়তা পাইতে যোগ্যতা লাগে । ওর কোন যোগ্যতাই নাই তাই এইরহম অস্লীল কিছু হরে আলোচনায় থাকতে চাইয় ছিঃ ছিঃ।
ও ঠিক আছে মাগী আরেকটা মুসলমান ভাতার ধরে নেবে ওর কাজই হচ্ছে এটা,"ইতি ঠিক আছে আরুজ্ঞো মুস্লিম নেক তয়াই লইবু ,ইতির হামই ইয়্যেন।",এ হইল মাগি আরিগ্গা মুসলমান ভাতার ধরি লইব কামই এগাস।,ও ঠিক আলহে মাগী আরেকটা মুসলমান ভাতার ধইর‍্যা নেবে ওর কাম অইছে এইডা।
ওই কুত্তার বাচ্চা জোরে দে...���� জিনিয়াস রা বুঝবে....,এ কুত্তোর বাইচ্চে জুরে দে ।জিনিয়াস অক্কল বুঝিবু।,ওই কুত্তার বেইচ্চা জোরে দে। জিনিয়াস রা বুইজ্জে।,ওই কুত্তার বাচ্চা জোরে দে। জিনিয়াস রা বুঝবে।
ওই মাগীরে বাংলাদেশ তেকে বাহির করে দেওয়া হক সমাজ নষ্ট করার জন্য এমন একটা মাগীর বাচ্চা ওই যতেস্ট,অই মাগীরে বাংলাদেশত্তুন বাইর গরি দেয়া ফরিবু সমাজ হারাপ বানাইবেল্লাই  এইল্লে উজ্ঞো মাগীর বাইচ্চে যথেষ্ট।,এইচ্ছা মাগীরে বাংলাদেশ তুন বাইর করি দেওয়া হক সমাজ নষ্ট কইতে এইচ্ছা মাগীর বাইচ্ছা যথেষ্ট।,ওই মাগীরে বাংলাদেশ থেইক্কা বাইর হইর‍্যা দেওয় অউক সমাজ নষ্ট হরার লইগ্যা এমন এউক্কা মাগীর বাচ্চাই যথেস্ট।
ওদের ফ্যামিলির কেউ ভার্জিন নেই ।মিথিলার বড বোন একটা খারাপ ওর মা ও খারাপ তানাহলে ওর বাবা মা দারিযে থেকে একটা হিন্দু ছেলের সাথে বিয়ে দেয কেমন করে ।,"ইতারাার ফেমিলির কেই আচুদা নাই ,মিথিলার বড় বইন এক হারাপ মাও হারাপ ,নইলি ইতির মা বাপ তিয়েই তাগিয়েরে ইতিরে উজ্ঞো ডেডার লয় বিয়া কেনে দিল ?",এগুনের ফ্যামিলিতে ইজাও ভার্জিন নাই । মিথিলার বড্ডা বইন একটা খারাপ ওর মাও খারাপ নইলে এগুনের বাপ মা খারাই থাকি ইজ্জা হিন্দি হোলার লগে বিয়া দে কেন্নে।,ওগো ফ্যামিলির কেউ ভার্জিন নাই ।মিথিলার বড় বুইন এউক্কা খারাপ ওর মা ও খারাপ তানাহলে ওর বাবা মা দারিযে থেইক্কা এউক্কা হিন্দু ছেলের লগে বিয়ে দেয কেমন হরে ।
ওরে পতিতালয়ের মেয়ে রে। তর বাপ কইটা তর মা জে জিজ্ঞেস কর৷,ওডি ভারার মাগী।তর মাত্তে ফুসর গর তর বাপ হউয়্যো।,ওরে পতিতালয়ের মাইয়ারে তোর বাপ কগা তোর মারে জিজ্ঞা।,ওরে পতিতালয়ের বেডি রে। তর বাপ কইটা তর মা জে জিজ্ঞেস হর৷
ওরেতো পতিতা লয়ের পতিতা বল্লেও ভুল হবে সে তো বিশ্ব বেইশ্যা,ইতিরে ভারার মাগী হইলিও ভুল অইবু ইতি অইয়্যি দে বেইশ্যা।,ইজারেত পতিতালয়ে পতিতা কইলেও ভুল হইব হেতে তো বিশ্ব বেইশ্যা।,ওরেতো পতিতা লয়ের পতিতা বল্লেও ভুল হ‌ইবে সে তো বিশ্ব বেইশ্যা ।
কতো গুলো ছাগল বসাইছে বিচারক,বিচারক হতিন ছল বোয়াইয়্যি।,কুতুগুন ছাগল বসাইছে বিচারক।,কতো গুলা ছাগল বসাইছে বিচারক।
কথা গুলো ধরার জন্য অনেক ধন্যবাত তুমাকে ভাইয়া ওরা হলো কুকুর তাই এরকম আছারন,হতাগিন ধরিবেল্লাই তোয়ারে ধইন্নবাদ বাইয়্যে ইতারা অইয়্যিদে কুত্তো এতাল্লাই এইল্লে আচরন।,কতা গুন ধরার লাই অনেক ধন্যবাদ তোয়ারে ভাইয়া ইগুন হইল কুত্তা হিরল্লাই এইচ্ছা আচরণ।,কতা গুলা ধরার ল‌ইগ্যা অনেক ধন্যবাত তুমাকে ভাইয়া ওরা অ‌ইলো কুত্তার তাই এরকম আছারন ।
কথা শুনলে মনে হয় তুই ওই মেয়ের চেয়ে বড় পাগল। তুই কি বাংগালী না উগান্ডা থেকে আগতদের মধ্যে একজন পোলাপাইন কথা বলতে পারে না ঠিক মতো আবার মানুষকে পচায়। আবাল,"হতা হুনিলি লাগে তুই মেয়ফুয়া ইবেত্তুনো ডর ফল ,তুই কি বাঙ্গালি নাকি উগান্ডাত্তুন আইসসুচ দে ঠিক মত হতা হইন্নফারস আবার মাইনষুরে লারস ।আবাল।",কতা হুনলে মনে হয় তুই ওই মাইয়ার তুন বড্ডা হাগল ।তুই কি বাঙালি না উগান্ডা থেকে আগতদের মধ্যে একজন হোলাহাইন কতা কইতে হারচ না ঠিক মত আবার মানুষ পোছায় আবাল।,কতা শুনলে মনে অয় তুই ওই মেয়ের চাইতে বড় পাগল। তুই কি বাংগালী না উগান্ডা থেইক্যা আগতদের মধ্যে একজন পোলাপাইন কতা কইতে পারে না ঠিক মতো আবার মানুকে পচায়। আবাল।
কাউয়া কাদেরের সাথ���,হাউয়্যো হাদিজ্জের উয়ারে।,কাউয়া কাদেরের লগে।,কাউয়া কাদেরের লগে।
কি অদ্ভুত খানকির পোলারা,কি অদ্ভুত হানকির পোয়া অক্কল।,কেউচ্চা অদ্ভুদ খানকীর হোলারা।,কি অদ্ভুত খানকির পোলারা।
কি চ্যাটের গান শালার,কি চ্যাটের গান আলার।,কি চ্যাটের গান হালার।,কি চ্যাটের গান হালার।
কি বাল নাচ ছো মাগি হাহাহাহাহা,কি বাল নাইচ্চুস মাগি হাহাহাহাহা।,কি বাল নাইচ্ছ ছো মাগি হাহাহাহাহা।,কি বাল নাচ ছো মাগি হাহাহাহাহা।
কি বালের গান বানাস।কোনো মিল নেই।এক এক টা যেন কাঙ্গালি। সালা ল্যাছড়া কুত্তা।,কি বালের গান বানাস।হনো মিল নাই।এক এক কান যেন কাঙ্গালি। আলা ল্যাছড়া কুত্তা।,কি বালের গান বানাস।কোনো মিল নেই।এক ইগ্গা যেন কাঙ্গালি। হালার লেচড়া কুত্তা।,কি বালের গান বানাও।কোনো মিল নাই।এউক্কা এউক্কা কাঙ্গালি। হালা ল্যাছড়া কুত্তা।
কী রে মাঘী দিনে কয় কেজি করে দুধ বিক্রি করিছ।আমি কেজি নিব। তোর দুধের পায়েশ খেতে খুব ইচ্ছা করে।,কী রে মাঘী দিনে কয় কেজি করে দুধ বিক্রি গরছ।আই এক কেজি লইয়্যুন। তোর দুধর পায়েশ হাইত মনে হর।,কিয়ারে  মাগি দিনে কো কেজি করি দুধ বেসোচ। আই কেজি নিমু । তোর দুধের পায়েশ খাইতে খুব ইচছা কইতেছে।,কী রে মাঘী দিনে কয় কেজি হইর‍্যা দুধ ব্যাচো।মুই কেজি নিব। তোর দুধের পায়েশ খেতে খুব ইচ্ছা হরে।
কুত্তা বাচ্চা জারজ না হলে এমন করতে পারতো না,কুত্তা বাইচ্চে জারজ ন অইলে এইল্লে গরিন্ন ফাইত্তু।,কুত্তার বাচ্চা জারজ না হইলে এইচ্ছা কইতে হাইতনা।,কুত্তা বাচ্চা জারজ না ওইলে এমন হরতে পারতো না।
কুত্তার বাচ্চারা তোগোরে জুতা মারা দরকার,কুত্তার বাইচ্চেরা তোরারে জুতা মারা দরহার।,কুত্তার বাচ্চারা তোগোরে জুতা মারা দরকার।,কুত্তার বাচ্চারা তোগোরে জোতা মারা দরকার।
কুত্তার মত পিটিয়ে ঠিক করার ধরকার,কুত্তার ডইল্লে পিটিয়ে ঠিক গরা ধরহার।,কুত্তার লানি হিডি ঠিক করার ধরকার।,কুত্তার মত পিডাইয়া ঠিক হরার ধরকার।
কুত্তার মতো চেহেরা,কুত্তার ডইল্লে  চেয়ারা।,কুত্তার মতো চেহেরা।,কুত্তার নাহান চেহেরা।
কে হবে আবাল রানা���,হন অইবু আবাল রানা।,কোন  হইব আবাল রানা।,কে হ‌ইবো আবাল রানা ।
কোন খানকির পোলা আনলাইক দেয় রে,হোন হানকির পোলা আনলাইক দেয় রে।,কোন খানকির পোলা আনলাইক দেয় রে।,কোন খানকির পোলা আনলাইক দেয় রে।
কোনো মেয়ে গুদ চুষাতে চাও তাহলে নাম্বার দাও ধানমন্ডি লালমাটিয়া,হোন মেয়ফুয়ার হেডা চুষতি চর নাম্বার দে ধান্মন্ডি লালমাটিয়া।,কোনো মাইয়ার  গুদ চুষাতে চাও তাইলে  নাম্বার দাও ধানমন্ডি লালমাটিয়া।,কোনো মেয়ে গুদ চুষাতে চাও তাহলে নাম্বার দাও ধানমন্ডি লালমাটিয়া।
